Time_ms id positions_x positions_z rotation_y is_signaling score
23579 0 -23 13 123 0 0
23579 1 68 -35 357 0 0
23579 2 104 26 246 0 -3
23680 0 -23 13 123 0 0
23680 1 68 -34 357 0 0
23680 2 103 26 246 0 -3
23779 0 -23 13 123 0 0
23779 1 68 -33 357 0 0
23779 2 103 25 246 0 -3
23879 0 -23 13 123 0 0
23879 1 68 -32 357 0 0
23879 2 102 25 246 0 -3
23979 0 -22 13 123 0 0
23979 1 68 -32 357 0 0
23979 2 102 25 246 0 -3
24079 0 -22 12 123 0 0
24079 1 68 -31 357 0 0
24079 2 101 25 246 0 -3
24180 0 -22 12 123 0 0
24180 1 68 -30 357 0 0
24180 2 100 24 241 0 -3
24279 0 -21 12 123 0 0
24279 1 68 -30 357 0 0
24279 2 100 24 233 0 -3
24379 0 -21 12 123 0 0
24379 1 68 -29 357 0 0
24379 2 99 24 220 0 -3
24479 0 -21 12 123 0 0
24479 1 68 -28 357 0 0
24479 2 99 23 207 0 -3
24579 0 -21 11 123 0 0
24579 1 68 -28 357 0 0
24579 2 98 22 196 0 -3
24680 0 -20 11 123 0 0
24680 1 68 -27 357 0 0
24680 2 98 22 182 0 -3
24779 0 -20 11 123 0 0
24779 1 68 -26 357 0 0
24779 2 98 21 168 0 -3
24879 0 -20 11 123 0 0
24879 1 68 -25 357 0 0
24879 2 98 21 158 0 -3
24979 0 -19 11 123 0 0
24979 1 68 -25 357 0 0
24979 2 98 20 139 0 -3
25079 0 -19 10 123 0 0
25079 1 68 -24 357 0 0
25079 2 99 19 129 0 -3
25180 0 -19 10 123 0 0
25180 1 68 -23 357 0 0
25180 2 99 19 123 0 -3
25279 0 -19 10 123 0 0
25279 1 68 -23 357 0 0
25279 2 100 18 121 0 -3
25379 0 -18 10 123 0 0
25379 1 68 -22 357 0 0
25379 2 101 18 121 0 -3
25479 0 -18 10 123 0 0
25479 1 68 -21 357 0 0
25479 2 101 18 128 0 -3
25579 0 -18 9 123 0 0
25579 1 68 -21 357 0 0
25579 2 102 17 139 0 -3
25680 0 -17 9 123 0 0
25680 1 68 -20 357 0 0
25680 2 102 17 153 0 -3
25779 0 -17 9 123 0 0
25779 1 68 -19 357 0 0
25779 2 102 16 163 0 -3
25879 0 -17 9 123 0 0
25879 1 67 -18 357 0 0
25879 2 103 15 182 0 -3
25979 0 -16 9 123 0 0
25979 1 67 -18 357 0 0
25979 2 103 15 197 0 -3
