Time_ms id positions_x positions_z rotation_y is_signaling score
40960 1 -31 37 113 0 334
41059 0 -22 24 295 0 0
41059 1 -30 36 113 0 334
41160 0 -23 25 295 0 0
41160 1 -30 36 113 0 334
41260 0 -23 25 295 0 0
41260 1 -29 36 113 0 334
41360 0 -23 25 295 0 0
41360 1 -28 36 113 0 334
41460 0 -24 25 295 0 0
41460 1 -28 35 113 0 334
41559 0 -24 25 295 0 0
41559 1 -27 35 113 0 359
41660 0 -24 25 295 0 0
41660 1 -26 35 113 0 359
41760 0 -25 25 295 0 0
41760 1 -26 34 113 0 359
41860 0 -25 26 295 0 0
41860 1 -25 34 113 0 359
41960 0 -25 26 295 0 0
41960 1 -24 34 113 0 359
42059 0 -26 26 295 0 0
42059 1 -24 34 113 0 359
42160 0 -26 26 295 0 0
42160 1 -23 33 113 0 359
42260 0 -26 26 295 0 0
42260 1 -22 33 113 0 359
42360 0 -26 26 295 0 0
42360 1 -22 33 113 0 359
42460 0 -27 26 295 0 0
42460 1 -21 32 113 0 359
42559 0 -27 27 295 0 0
42559 1 -21 32 113 0 391
42660 0 -27 27 295 0 0
42660 1 -20 32 113 0 391
42760 0 -28 27 295 0 0
42760 1 -20 32 113 0 391
42860 0 -28 27 295 0 0
42860 1 -19 32 113 0 391
42960 0 -28 27 295 0 0
42960 1 -19 32 113 0 391
43059 0 -29 27 295 0 0
43059 1 -19 32 113 0 391
43160 0 -29 28 295 0 0
43160 1 -19 32 113 0 391
43260 0 -29 28 295 0 0
43260 1 -19 31 113 0 391
43360 0 -30 28 295 0 0
43360 1 -19 31 113 0 391
43460 0 -30 28 295 0 0
43460 1 -18 31 112 0 391
43559 0 -30 28 295 0 0
43559 1 -17 31 107 0 391
43660 0 -31 28 295 0 0
43660 1 -17 31 98 0 414
43760 0 -31 28 295 0 0
43760 1 -16 31 84 0 414
43860 0 -31 29 295 0 0
43860 1 -16 31 69 0 414
43960 0 -32 29 295 0 0
43960 1 -16 31 56 0 414
44059 0 -32 29 295 0 0
44059 1 -16 31 47 0 414
44160 0 -32 29 295 0 0
44160 1 -16 31 43 0 414
44260 0 -32 29 295 0 0
44260 1 -16 31 43 0 414
44360 0 -33 29 295 0 0
44360 1 -15 31 43 0 414
44460 0 -33 29 295 0 0
44460 1 -15 32 43 0 414
44559 0 -33 30 295 0 0
44559 1 -14 32 43 0 414
44660 0 -34 30 295 0 0
44660 1 -14 33 44 0 438
44760 0 -34 30 295 0 0
44760 1 -13 33 49 0 438
44860 0 -34 30 295 0 0
44860 1 -13 34 58 0 438
44960 0 -35 30 295 0 0
44960 1 -13 34 72 0 438
45059 0 -35 30 295 0 0
45059 1 -13 34 87 0 438
45160 0 -35 31 295 0 0
45160 1 -13 34 102 0 438
45260 0 -36 31 295 0 0
45260 1 -13 34 117 0 438
45360 0 -36 31 295 0 0
45360 1 -13 34 132 0 438
45460 0 -36 31 295 0 0
45460 1 -13 34 147 0 438
45559 0 -37 31 295 0 0
45559 1 -13 34 162 0 438
45660 0 -37 31 295 0 0
45660 1 -13 33 175 0 456
45760 0 -37 31 295 0 0
45760 1 -13 33 184 0 456
45860 0 -38 32 295 0 0
