Time_ms id positions_x positions_z rotation_y is_signaling score
131319 1 71 -76 14 0 0
131319 2 109 46 57 0 0
131419 0 -1 -2 314 0 0
131419 1 71 -75 14 0 0
131419 2 109 46 42 0 0
131520 0 -1 -2 314 0 0
131520 1 71 -75 14 0 0
131520 2 109 46 26 0 0
131619 0 -1 -2 314 0 0
131619 1 71 -75 14 0 0
131619 2 109 46 13 0 0
131720 0 -2 -1 314 0 0
131720 1 71 -75 14 0 0
131720 2 109 46 356 0 0
131819 0 -2 -1 314 0 0
131819 1 71 -75 14 0 0
131819 2 109 46 342 0 0
131919 0 -2 -1 314 0 0
131919 1 71 -75 14 0 0
131919 2 109 46 326 0 0
132020 0 -2 -1 318 0 0
132020 1 71 -75 14 0 0
132020 2 109 46 311 0 0
132119 0 -3 0 318 0 0
132119 1 71 -75 14 0 0
132119 2 109 46 296 0 0
132220 0 -3 0 318 0 0
132220 1 71 -75 14 0 0
132220 2 109 46 281 0 0
132319 0 -3 0 318 0 0
132319 1 71 -75 14 0 0
132319 2 109 46 266 0 0
132419 0 -3 0 318 0 0
132419 1 71 -75 14 0 0
132419 2 109 46 251 0 0
132520 0 -4 0 318 0 0
132520 1 71 -75 14 0 0
132520 2 109 46 235 0 0
132619 0 -4 0 318 0 0
132619 1 71 -75 14 0 0
132619 2 109 46 220 0 0
132720 0 -4 0 318 0 0
132720 1 71 -75 14 0 0
132720 2 109 46 205 0 0
132819 0 -4 0 318 0 0
132819 1 71 -75 14 0 0
132819 2 109 46 189 0 0
132919 0 -5 1 318 0 0
132919 1 71 -75 14 0 0
132919 2 109 46 175 0 0
133020 0 -5 1 318 0 0
133020 1 71 -75 14 0 0
133020 2 109 46 161 0 0
133119 0 -5 1 318 0 0
133119 1 71 -75 14 0 0
133119 2 109 46 149 0 0
133220 0 -5 1 318 0 0
133220 1 71 -75 14 0 0
133220 2 109 46 148 0 0
133319 0 -5 2 14 0 0
133319 1 71 -75 14 0 0
133319 2 109 46 154 0 0
133419 0 -5 2 14 0 0
133419 1 71 -75 14 0 0
133419 2 109 46 164 0 0
133520 0 -5 3 14 0 0
133520 1 71 -75 14 0 0
133520 2 109 46 180 0 0
133619 0 -5 3 14 0 0
133619 1 71 -75 14 0 0
133619 2 109 46 195 0 0
133720 0 -5 3 14 0 0
133720 1 71 -75 14 0 0
133720 2 109 46 207 0 0
133819 0 -5 4 14 0 0
133819 1 71 -75 14 0 0
133819 2 109 46 217 0 0
133919 0 -4 4 75 0 0
133919 1 71 -75 14 0 0
133919 2 109 46 221 0 0
134020 0 -4 4 75 0 0
134020 1 71 -75 14 0 0
134020 2 109 46 222 0 0
134119 0 -4 4 75 0 0
134119 1 71 -75 14 0 0
134119 2 109 46 218 0 0
134220 0 -3 4 75 0 0
134220 1 71 -75 14 0 0
134220 2 109 46 212 0 0
134319 0 -3 4 75 0 0
134319 1 71 -75 14 1 0
134319 2 109 46 209 0 0
134419 0 -3 4 75 0 0
134419 1 71 -75 14 1 0
134419 2 109 46 209 0 0
134520 0 -2 4 75 0 0
134520 1 71 -75 14 1 0
134520 2 108 46 209 0 0
134619 0 -2 4 75 0 0
134619 1 72 -74 14 1 0
134619 2 108 46 209 0 0
134720 0 -2 4 75 0 0
134720 1 72 -74 14 1 0
134720 2 108 45 209 0 0
134819 0 -1 4 75 0 0
134819 1 72 -74 14 1 0
134819 2 108 44 209 0 0
134919 0 -1 5 75 0 0
134919 1 72 -73 14 1 0
134919 2 107 44 209 0 0
135020 0 -1 5 75 0 0
135020 1 72 -73 14 1 -1
135020 2 107 43 209 0 0
135119 0 0 5 75 0 0
135119 1 72 -72 14 1 -1
135119 2 106 43 209 0 0
135220 0 0 5 75 0 0
135220 1 72 -71 14 1 -1
135220 2 106 42 209 0 0
135319 0 0 5 75 0 0
135319 1 73 -71 14 1 -1
135319 2 106 41 209 0 0
135419 0 0 5 75 0 0
135419 1 73 -70 14 1 -1
135419 2 105 41 209 0 0
135520 0 0 5 75 0 0
135520 1 73 -69 11 1 -1
135520 2 105 40 209 0 0
135619 0 0 5 75 0 0
135619 1 73 -69 4 1 -1
135619 2 105 39 209 0 0
135720 0 1 5 75 0 0
135720 1 73 -68 358 1 -1
135720 2 104 39 209 0 0
135819 0 1 5 75 0 0
135819 1 73 -67 357 1 -1
135819 2 104 38 209 0 0
135919 0 1 5 75 0 0
135919 1 73 -66 357 1 -1
135919 2 104 38 209 0 0
136020 0 2 6 75 0 0
136020 1 73 -66 357 1 -2
136020 2 103 37 209 0 0
136119 0 2 6 75 0 0
136119 1 73 -65 357 1 -2
136119 2 103 37 209 0 0
136220 0 2 6 75 0 0
136220 1 73 -64 357 1 -2
136220 2 103 36 209 1 0
136319 0 3 6 75 0 0
136319 1 73 -64 357 1 -2
136319 2 103 36 209 1 0
136419 0 3 6 75 0 0
136419 1 73 -63 357 1 -2
136419 2 103 36 209 1 0
136520 0 3 6 75 0 0
136520 1 73 -62 357 1 -2
